target,target_type,feature_set,feature_count,rows,model,status,accuracy,balanced_accuracy,brier_score,f1,log_loss,roc_auc,folds,mae,rmse
home_win,classification,current_full,354,924,xgboost,ok,0.6246753246753247,0.6215672716864384,0.2744003772735596,0.6641497683388318,0.8894226789474488,0.6783980796608524,5.0,,
home_win,classification,current_full,354,924,lightgbm,ok,0.6181818181818182,0.6148161101769274,0.2626252848632369,0.6571888908126166,0.8157337008010723,0.6789687979372169,5.0,,
home_win,classification,current_full,354,924,catboost,ok,0.6532467532467532,0.6461289764137169,0.21970263075572616,0.6987970587966482,0.6313468114832004,0.7061927018439128,5.0,,
home_win,classification,current_full,354,924,logistic_regression,ok,0.551948051948052,0.5505349551655335,0.34492470906145656,0.5812490896788597,1.5223289590391251,0.5766409362536666,5.0,,
home_win,classification,current_full,354,924,extra_trees,ok,0.6649350649350649,0.6603877921394066,0.219806525974026,0.6992929152317628,0.6739604212090825,0.7039272378777724,5.0,,
home_win,classification,pruned_cumulative,258,924,xgboost,ok,0.6337662337662339,0.6288512815061471,0.270444729924202,0.6748286961336725,0.9124048113822937,0.6695532416783267,5.0,,
home_win,classification,pruned_cumulative,258,924,lightgbm,ok,0.6428571428571429,0.6384140920574486,0.2580783987429613,0.6823886934707327,0.817278195584348,0.682586427690919,5.0,,
home_win,classification,pruned_cumulative,258,924,catboost,ok,0.6454545454545454,0.638988350037503,0.2242113333107265,0.6892644347436783,0.6441090661248199,0.6931719965187628,5.0,,
home_win,classification,pruned_cumulative,258,924,logistic_regression,ok,0.5766233766233766,0.5784246837695121,0.32135345871713905,0.5881530042143158,1.3378246078750338,0.5895649110571621,5.0,,
home_win,classification,pruned_cumulative,258,924,extra_trees,ok,0.6454545454545455,0.6404937596569381,0.21985980519480522,0.6855823297068706,0.6744319892441274,0.7064219883867537,5.0,,
home_win,classification,rates_form_rest,53,924,xgboost,ok,0.6012987012987013,0.6000862570957591,0.2927902340888977,0.633564181978816,0.9415065765380859,0.6402407389235909,5.0,,
home_win,classification,rates_form_rest,53,924,lightgbm,ok,0.6064935064935065,0.6038070852245011,0.26997590296308294,0.6436536808509634,0.8130341981190183,0.6508794741268352,5.0,,
home_win,classification,rates_form_rest,53,924,catboost,ok,0.6272727272727273,0.6241791440738766,0.22531159424151093,0.6635266708114063,0.644431577785827,0.6867486759274477,5.0,,
home_win,classification,rates_form_rest,53,924,logistic_regression,ok,0.612987012987013,0.6158739165066124,0.25283395035363126,0.6291696775095491,0.9862742260901939,0.6551754832007111,5.0,,
home_win,classification,rates_form_rest,53,924,extra_trees,ok,0.648051948051948,0.6449344474012558,0.22531353668831172,0.6827720909452133,0.7311067926899748,0.6851358935092653,5.0,,
home_win,classification,compact_core,49,924,xgboost,ok,0.5987012987012986,0.5948199838379423,0.2911843955516815,0.6430701676298446,0.9407626748085022,0.6404631890880064,5.0,,
home_win,classification,compact_core,49,924,lightgbm,ok,0.6064935064935065,0.6022607780470641,0.27147061152935076,0.6503329021660134,0.8313754076937581,0.653452461288168,5.0,,
home_win,classification,compact_core,49,924,catboost,ok,0.648051948051948,0.6455909873826979,0.22510562071942544,0.6815555345261437,0.6445511193850415,0.6939201585363268,5.0,,
home_win,classification,compact_core,49,924,logistic_regression,ok,0.596103896103896,0.5977592128988617,0.25281727579125146,0.6183638274539263,0.9803339607647972,0.6527136770395486,5.0,,
home_win,classification,compact_core,49,924,extra_trees,ok,0.6324675324675324,0.6296781836950274,0.22617718376623372,0.6666474997697867,0.7326437003463168,0.6831823035116023,5.0,,
full_margin,regression,current_full,354,924,xgboost,ok,,,,,,,5.0,11.440683317247343,14.545691552744676
full_margin,regression,current_full,354,924,lightgbm,ok,,,,,,,5.0,11.158945823524686,14.213787507610135
full_margin,regression,current_full,354,924,catboost,ok,,,,,,,5.0,10.92020494242208,14.063495497135984
full_margin,regression,current_full,354,924,ridge,ok,,,,,,,5.0,21.748394007426292,45.92437044546425
full_margin,regression,current_full,354,924,extra_trees,ok,,,,,,,5.0,10.81859090909091,13.898741866268077
full_margin,regression,current_full,354,924,hist_gb,ok,,,,,,,5.0,11.46697264516892,14.38129329513807
full_margin,regression,pruned_cumulative,258,924,xgboost,ok,,,,,,,5.0,11.468141859766797,14.557089906275555
full_margin,regression,pruned_cumulative,258,924,lightgbm,ok,,,,,,,5.0,11.094720085593817,14.185179234204956
full_margin,regression,pruned_cumulative,258,924,catboost,ok,,,,,,,5.0,11.160526180345757,14.3615405078391
full_margin,regression,pruned_cumulative,258,924,ridge,ok,,,,,,,5.0,21.06892205134769,43.51502958995699
full_margin,regression,pruned_cumulative,258,924,extra_trees,ok,,,,,,,5.0,10.968753246753247,14.039902981355572
full_margin,regression,pruned_cumulative,258,924,hist_gb,ok,,,,,,,5.0,11.16109013357553,14.274722802445051
full_margin,regression,rates_form_rest,53,924,xgboost,ok,,,,,,,5.0,11.763710617997333,15.124070163564818
full_margin,regression,rates_form_rest,53,924,lightgbm,ok,,,,,,,5.0,11.256660152781723,14.482426919719785
full_margin,regression,rates_form_rest,53,924,catboost,ok,,,,,,,5.0,11.206539361150472,14.361399855652516
full_margin,regression,rates_form_rest,53,924,ridge,ok,,,,,,,5.0,13.820024389940155,24.34026942942875
full_margin,regression,rates_form_rest,53,924,extra_trees,ok,,,,,,,5.0,11.062856818181817,14.243343368300131
full_margin,regression,rates_form_rest,53,924,hist_gb,ok,,,,,,,5.0,11.423200003509837,14.630152383557032
full_margin,regression,compact_core,49,924,xgboost,ok,,,,,,,5.0,12.00554207398869,15.28295089067717
full_margin,regression,compact_core,49,924,lightgbm,ok,,,,,,,5.0,11.293691138677012,14.446130560493708
full_margin,regression,compact_core,49,924,catboost,ok,,,,,,,5.0,11.14710498559166,14.402080275658562
full_margin,regression,compact_core,49,924,ridge,ok,,,,,,,5.0,12.677124098088827,19.32756154424816
full_margin,regression,compact_core,49,924,extra_trees,ok,,,,,,,5.0,11.057140584415585,14.26912579384621
full_margin,regression,compact_core,49,924,hist_gb,ok,,,,,,,5.0,11.492017618627074,14.67742289545102
full_total,regression,current_full,354,924,xgboost,ok,,,,,,,5.0,15.815615983442829,20.071893939248874
full_total,regression,current_full,354,924,lightgbm,ok,,,,,,,5.0,15.656696625823717,19.805030790358394
full_total,regression,current_full,354,924,catboost,ok,,,,,,,5.0,15.277532559396462,19.46694261450035
full_total,regression,current_full,354,924,ridge,ok,,,,,,,5.0,26.971800234660645,47.71522547374489
full_total,regression,current_full,354,924,extra_trees,ok,,,,,,,5.0,14.725850649350651,18.85015773850179
full_total,regression,current_full,354,924,hist_gb,ok,,,,,,,5.0,15.621036957003977,19.60848175225511
full_total,regression,pruned_cumulative,258,924,xgboost,ok,,,,,,,5.0,15.695429754876471,19.95038738463892
full_total,regression,pruned_cumulative,258,924,lightgbm,ok,,,,,,,5.0,15.67893428311199,19.724588850259448
full_total,regression,pruned_cumulative,258,924,catboost,ok,,,,,,,5.0,15.31584983483592,19.543441092365036
full_total,regression,pruned_cumulative,258,924,ridge,ok,,,,,,,5.0,26.92807863094299,50.25323789274268
full_total,regression,pruned_cumulative,258,924,extra_trees,ok,,,,,,,5.0,14.794915584415586,18.88174753172889
full_total,regression,pruned_cumulative,258,924,hist_gb,ok,,,,,,,5.0,15.823131154482516,19.96104674589692
full_total,regression,rates_form_rest,53,924,xgboost,ok,,,,,,,5.0,16.399501196130526,20.956060461376666
full_total,regression,rates_form_rest,53,924,lightgbm,ok,,,,,,,5.0,15.797258231513615,20.08696368207371
full_total,regression,rates_form_rest,53,924,catboost,ok,,,,,,,5.0,15.364209685853563,19.688843490650548
full_total,regression,rates_form_rest,53,924,ridge,ok,,,,,,,5.0,15.402108600998668,19.755490798629204
full_total,regression,rates_form_rest,53,924,extra_trees,ok,,,,,,,5.0,15.040003896103897,19.38787167946714
full_total,regression,rates_form_rest,53,924,hist_gb,ok,,,,,,,5.0,15.901575335388042,20.23750238559446
full_total,regression,compact_core,49,924,xgboost,ok,,,,,,,5.0,15.986117058295708,20.6824736035161
full_total,regression,compact_core,49,924,lightgbm,ok,,,,,,,5.0,15.75673874764451,20.103282574600975
full_total,regression,compact_core,49,924,catboost,ok,,,,,,,5.0,15.2957050405238,19.672486407290652
full_total,regression,compact_core,49,924,ridge,ok,,,,,,,5.0,15.372303093223488,19.876855295572916
full_total,regression,compact_core,49,924,extra_trees,ok,,,,,,,5.0,15.00769642857143,19.339703979852437
full_total,regression,compact_core,49,924,hist_gb,ok,,,,,,,5.0,15.873091543817111,20.237472900411547
